Meatballs. chicken - Delhaize - Delhaize groupe;10.9;0;0;480;0;12;0
Bacon. noble sliced - Delhaize - Delhaize groupe;0.9;0;0;1320;0;23;0.9
Bacon. oven baked herb bacon - Ancienne Belgique - Lidl Belgium GmbH;1.5;0;0;900;0;17;1.5
Salami. salchichon chérico de credo - Delhaize - Taste of Inspirations - Delhaize groupe;2.1;0;0;1830;0;26;2.1
Zuurkool gegarneerd 325g - Delhaize - Delhaize groupe;1.5;0;0;600;0;9;0.4
Salad. indian salad with chicken no mayo - Delhaize - Delhaize groupe;6.9;0;0;600;0;7.1;5.5
Chicken sausage 200g - Delhaize - Delhaize groupe;4.4;0;0;700;0;10.6;1.3
Chicken skewer oriental - Carrefour - Carrefour Belgium;4.5;0;0;440;0;18;1.5
Pâté country style 365 - Delhaize - Delhaize groupe;2.6;0;0;800;0;13;2.6
Paté. ardennes paté 365 - Delhaize - 365 - Delhaize groupe;5;0;0;780;0;11.5;1.8
Paté. groene peper paté in cup 150g - Delhaize - Delhaize groupe;2.3;0;0;1100;0;11.7;0.8
Sausage. luncheon meat 200g - Delhaize - Delhaize groupe;3.7;0;0;880;0;13.2;0.6
Smoked bacon in cubes bio - Delhaize - BIO - Delhaize groupe;0.5;0;0;1300;0;17.5;0.5
Sausage. dry sausage. walnuts - Delhaize - Delhaize groupe;2.9;0;0;1200;0;29.2;2.9
Salade. meat salad 200g - Delhaize - 365 - Delhaize groupe;5.1;0;0;380;0;3;1.1
Kangaroo. rump. baked;0;370;0;51;0;33.9;0
Kassler 125g - Carrefour - Carrefour Belgium;5;0;0;1080;0;20.9;2.9
Sausage. Pariser;1.1;231;157;842;0;15;0.7
Sausage. Parisian hunting sausage with green pepper & garlic - Carrefour - Carrefour Belgium;1.1;0;0;720;0;15;1.1
Salami walnut 230g - Bistro - Imperial Meat Products;0.2;0;0;1613;0;25.3;0.2
Salami Westfalie butcher's label - Imperial - Imperial Meat Products;0.2;0;0;1370;0;19.3;0.2
Salami with pepper 150g - Delhaize - Delhaize groupe;2.1;0;0;1000;0;19.9;0.5
Luncheon sausage Mickey - Disney - Imperial Meat Product;3.8;0;0;708;0;12;0.9
Salami Pain d'ardenne without skin - Imperial - Imperial Meat Products;0.1;0;0;1647;0;28.2;0.1
Turkey ham. roast tradition - Cornby - Dacor;0.8;0;0;881;0;21.5;0.7
